Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
269,00,19,9850.00,9950.00,100.00,0
270,00,00,9900.00,10000.00,100.00,1
271,00,00,9900.00,9950.00,50.00,1
272,00,00,9850.00,9950.00,100.00,1
273,01,CC,9900.00,10000.00,100.00,0
274,00,08,9900.00,9950.00,50.00,0
275,00,00,9900.00,9950.00,50.00,1
276,00,00,9850.00,9950.00,100.00,1
277,00,00,9900.00,10000.00,100.00,1
278,00,00,9900.00,9950.00,50.00,1
279,EE,A4,9850.00,9950.00,100.00,0
280,FF,FF,49587650.00,49452400.00,-135250.00,1
281,FF,FF,10950.00,11000.00,50.00,1
282,02,0D,10950.00,10950.00,0.00,0
283,04,04,10950.00,10950.00,0.00,1
284,02,02,10950.00,11000.00,50.00,1
285,38,38,10950.00,10950.00,0.00,1
286,11,11,36900.00,19900.00,-17000.00,1
287,AE,A3,61750.00,84750.00,23000.00,0
288,FF,FF,25650.00,42750.00,17100.00,1
289,FF,FF,9900.00,9950.00,50.00,1
290,02,0D,9900.00,10000.00,100.00,0
291,13,13,9850.00,9950.00,100.00,1
292,00,00,9900.00,9950.00,50.00,1
293,02,CC,9900.00,9950.00,50.00,0
294,00,08,9850.00,10000.00,150.00,0
295,00,00,9900.00,9950.00,50.00,1
296,00,00,9900.00,9950.00,50.00,1
297,01,00,9900.00,9950.00,50.00,0
298,00,00,9850.00,10000.00,150.00,1
299,78,7A,9900.00,9950.00,50.00,0
300,00,19,9900.00,9950.00,50.00,0
301,00,00,9850.00,10000.00,150.00,1
302,00,00,9900.00,9950.00,50.00,1
303,00,00,9900.00,9950.00,50.00,1
304,01,CC,9900.00,9950.00,50.00,0
305,00,08,9850.00,10000.00,150.00,0
306,00,00,9900.00,9950.00,50.00,1
307,00,00,9900.00,9950.00,50.00,1
308,00,00,9900.00,9950.00,50.00,1
309,00,00,9850.00,10000.00,150.00,1
310,6E,A4,9900.00,9950.00,50.00,0
