Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
270,00,00,12850.00,10000.00,-2850.00,1
271,00,00,12850.00,9950.00,-2900.00,1
272,00,00,12800.00,9950.00,-2850.00,1
273,00,CC,12850.00,10000.00,-2850.00,0
274,01,08,12850.00,9950.00,-2900.00,0
275,00,00,12850.00,9950.00,-2900.00,1
276,00,00,12800.00,9950.00,-2850.00,1
277,00,00,12850.00,10000.00,-2850.00,1
278,00,00,12850.00,9950.00,-2900.00,1
279,00,A4,12850.00,9950.00,-2900.00,0
280,CE,FF,12800.00,49452400.00,49439600.00,0
281,FF,FF,49446600.00,11000.00,-49435600.00,1
282,FF,0D,10950.00,10950.00,0.00,0
283,02,04,10950.00,10950.00,0.00,0
284,04,02,11000.00,11000.00,0.00,0
285,02,38,10950.00,10950.00,0.00,0
286,38,11,10950.00,19900.00,8950.00,0
287,11,A3,63800.00,84750.00,20950.00,0
288,AE,FF,108650.00,42750.00,-65900.00,0
289,FF,FF,37250.00,9950.00,-27300.00,1
290,FF,0D,12850.00,10000.00,-2850.00,0
291,02,13,12800.00,9950.00,-2850.00,0
292,13,00,12850.00,9950.00,-2900.00,0
293,00,CC,12850.00,9950.00,-2900.00,0
294,00,08,12850.00,10000.00,-2850.00,0
295,00,00,12800.00,9950.00,-2850.00,1
296,00,00,12850.00,9950.00,-2900.00,1
297,80,00,12850.00,9950.00,-2900.00,0
298,1F,00,12850.00,10000.00,-2850.00,0
299,04,7A,12800.00,9950.00,-2850.00,0
300,78,19,12850.00,9950.00,-2900.00,0
301,00,00,12850.00,10000.00,-2850.00,1
302,00,00,12850.00,9950.00,-2900.00,1
303,00,00,12850.00,9950.00,-2900.00,1
304,00,CC,12800.00,9950.00,-2850.00,0
305,01,08,12850.00,10000.00,-2850.00,0
306,00,00,12850.00,9950.00,-2900.00,1
307,00,00,12850.00,9950.00,-2900.00,1
308,00,00,12800.00,9950.00,-2850.00,1
309,00,00,12850.00,10000.00,-2850.00,1
310,00,A4,12850.00,9950.00,-2900.00,0
311,CE,FF,12850.00,49425950.00,49413100.00,0
312,FF,FF,49456100.00,10950.00,-49445150.00,1
313,FF,0D,10950.00,10950.00,0.00,0
314,02,04,10950.00,10950.00,0.00,0
315,04,02,10950.00,11000.00,50.00,0
316,02,38,10950.00,10950.00,0.00,0
317,38,11,11000.00,77750.00,66750.00,0
318,11,A3,112600.00,82750.00,-29850.00,0
319,AE,FF,135500.00,43950.00,-91550.00,0
320,FF,FF,56200.00,10000.00,-46200.00,1
321,FF,0D,12850.00,9950.00,-2900.00,0
322,02,13,12850.00,9950.00,-2900.00,0
323,13,00,12800.00,9950.00,-2850.00,0
324,00,CC,12850.00,10000.00,-2850.00,0
325,00,08,12850.00,9950.00,-2900.00,0
326,00,00,12850.00,9950.00,-2900.00,1
327,00,00,12800.00,10000.00,-2800.00,1
328,80,00,12850.00,9950.00,-2900.00,0
329,1F,00,12850.00,9950.00,-2900.00,0
330,04,7A,12850.00,10000.00,-2850.00,0
331,78,19,12800.00,9950.00,-2850.00,0
332,00,00,12850.00,9950.00,-2900.00,1
333,00,00,12850.00,10000.00,-2850.00,1
334,00,00,12850.00,9950.00,-2900.00,1
335,00,CC,12800.00,9950.00,-2850.00,0
336,01,08,12850.00,10000.00,-2850.00,0
337,00,00,12850.00,9950.00,-2900.00,1
338,00,00,12850.00,9950.00,-2900.00,1
339,00,00,12800.00,10000.00,-2800.00,1
340,00,00,12850.00,9950.00,-2900.00,1
341,00,A4,12850.00,9950.00,-2900.00,0
342,CE,FF,12850.00,49709800.00,49696950.00,0
343,FF,FF,49355250.00,10950.00,-49344300.00,1
344,FF,0D,11000.00,10950.00,-50.00,0
345,02,04,10950.00,10950.00,0.00,0
346,04,02,10950.00,10950.00,0.00,0
347,02,38,11000.00,11000.00,0.00,0
348,38,11,10950.00,47800.00,36850.00,0
349,11,A3,129550.00,151400.00,21850.00,0
350,AE,FF,121600.00,41400.00,-80200.00,0
351,FF,FF,56500.00,9950.00,-46550.00,1
352,FF,0D,12800.00,10000.00,-2800.00,0
353,02,13,12850.00,9950.00,-2900.00,0
354,13,00,12850.00,9950.00,-2900.00,0
355,00,CC,12850.00,10000.00,-2850.00,0
356,00,08,12800.00,9950.00,-2850.00,0
357,00,00,12850.00,9950.00,-2900.00,1
358,00,00,12850.00,9950.00,-2900.00,1
359,80,00,12850.00,10000.00,-2850.00,0
360,1F,00,12850.00,9950.00,-2900.00,0
361,04,7A,12800.00,9950.00,-2850.00,0
362,78,19,12850.00,9950.00,-2900.00,0
363,00,00,12850.00,10000.00,-2850.00,1
364,00,00,12850.00,9950.00,-2900.00,1
365,00,00,12800.00,9950.00,-2850.00,1
366,00,CC,12850.00,10000.00,-2850.00,0
367,01,08,12850.00,9950.00,-2900.00,0
368,00,00,12850.00,9950.00,-2900.00,1
369,00,00,12800.00,9950.00,-2850.00,1
370,00,00,12850.00,10000.00,-2850.00,1
371,00,00,12850.00,9950.00,-2900.00,1
372,00,A4,12850.00,9950.00,-2900.00,0
