Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
222,04,02,02,02,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
223,02,38,38,38,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
224,38,11,11,11,10950.00,59800.00,77750.00,124600.00,48850.00,17950.00,64800.00
225,11,AE,A3,AD,90750.00,114550.00,64800.00,72750.00,23800.00,-49750.00,-41800.00
226,AE,FF,FF,FF,108700.00,58150.00,45400.00,41600.00,-50550.00,-12750.00,-16550.00
227,FF,FF,FF,FF,56400.00,9900.00,10000.00,9950.00,-46500.00,100.00,50.00
228,FF,02,0D,03,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
229,02,13,13,13,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
230,13,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
231,00,02,CC,6F,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
232,00,08,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
233,00,00,00,00,12800.00,9900.00,9950.00,10000.00,-2900.00,50.00,100.00
234,00,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
235,80,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
236,1F,04,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
237,04,78,7A,7A,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
238,78,00,19,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
239,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
240,00,00,00,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
241,00,00,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
242,00,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
243,01,08,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
244,00,00,00,9E,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
245,00,00,00,03,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
246,00,00,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
247,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
248,00,DC,A4,E2,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
249,CE,FF,FF,FF,12800.00,45337750.00,49716050.00,49805600.00,45324950.00,4378300.00,4467850.00
