Id,AHex,BHex,ADelta[ns],BDelta[ns],AMinusB[ns],SameByte
439,02,04,10950.00,10950.00,0.00,0
440,04,02,10950.00,11000.00,-50.00,0
441,02,38,11000.00,10950.00,50.00,0
442,38,11,10950.00,100650.00,-89700.00,0
443,11,A9,43850.00,131550.00,-87700.00,0
444,AE,FF,101600.00,46200.00,55400.00,0
445,FF,FF,27350.00,9950.00,17400.00,1
446,FF,07,9850.00,9900.00,-50.00,0
447,02,13,9900.00,9950.00,-50.00,0
448,13,00,9850.00,9900.00,-50.00,0
449,00,A5,9900.00,9950.00,-50.00,0
450,03,08,9850.00,9950.00,-100.00,0
451,08,00,9900.00,9900.00,0.00,0
452,00,00,9850.00,9950.00,-100.00,1
453,00,00,9900.00,9950.00,-50.00,1
454,07,00,9850.00,9900.00,-50.00,0
455,00,7A,9900.00,9950.00,-50.00,0
456,78,1F,9850.00,9950.00,-100.00,0
457,00,00,9900.00,9900.00,0.00,1
458,00,00,9850.00,9950.00,-100.00,1
459,00,00,9900.00,9900.00,0.00,1
460,00,A5,9850.00,9950.00,-100.00,0
461,FF,08,9900.00,9950.00,-50.00,0
462,07,00,9900.00,9900.00,0.00,0
463,00,00,9850.00,9950.00,-100.00,1
464,00,00,9850.00,9950.00,-100.00,1
465,00,00,9900.00,9900.00,0.00,1
466,00,F2,9850.00,9950.00,-100.00,0
467,5A,FF,9900.00,49436550.00,-49426650.00,0
468,FF,FF,49581750.00,10950.00,49570800.00,1
469,FF,07,10950.00,10950.00,0.00,0
470,02,04,11000.00,10950.00,50.00,0
471,04,02,10950.00,11000.00,-50.00,0
472,02,38,10950.00,10950.00,0.00,0
473,38,11,10950.00,108600.00,-97650.00,0
474,11,A9,203250.00,104550.00,98700.00,0
475,AE,FF,104600.00,45800.00,58800.00,0
476,FF,FF,25850.00,9950.00,15900.00,1
477,FF,07,9850.00,9950.00,-100.00,0
478,02,13,9900.00,9900.00,0.00,0
479,13,00,9850.00,9950.00,-100.00,0
480,00,A5,9850.00,9900.00,-50.00,0
481,03,08,9900.00,9950.00,-50.00,0
482,08,00,9850.00,9950.00,-100.00,0
483,00,00,9900.00,9900.00,0.00,1
484,00,00,9850.00,9950.00,-100.00,1
485,08,00,9900.00,9950.00,-50.00,0
486,00,7A,9900.00,9900.00,0.00,0
487,78,1F,9850.00,9950.00,-100.00,0
488,00,00,9900.00,9950.00,-50.00,1
489,00,00,9850.00,9900.00,-50.00,1
490,00,00,9900.00,9950.00,-50.00,1
491,00,A5,9850.00,9950.00,-100.00,0
492,FF,08,9900.00,9900.00,0.00,0
493,07,00,9850.00,9950.00,-100.00,0
494,00,00,9900.00,9950.00,-50.00,1
495,00,00,9850.00,9900.00,-50.00,1
496,00,00,9900.00,9950.00,-50.00,1
497,00,F2,9850.00,9950.00,-100.00,0
498,59,FF,9900.00,49126850.00,-49116950.00,0
499,FF,FF,49961650.00,10950.00,49950700.00,1
500,FF,07,10950.00,10950.00,0.00,0
501,02,04,10950.00,11000.00,-50.00,0
502,04,02,11000.00,10950.00,50.00,0
503,02,38,10950.00,10950.00,0.00,0
504,38,11,10950.00,97700.00,-86750.00,0
505,11,A9,50800.00,108650.00,-57850.00,0
506,AE,FF,108600.00,47250.00,61350.00,0
507,FF,FF,25750.00,9950.00,15800.00,1
508,FF,07,9850.00,9900.00,-50.00,0
509,02,13,9900.00,9950.00,-50.00,0
510,13,00,9850.00,9900.00,-50.00,0
511,00,A5,9850.00,9950.00,-100.00,0
512,03,08,9900.00,9950.00,-50.00,0
513,08,00,9850.00,9900.00,-50.00,0
514,00,00,9900.00,9950.00,-50.00,1
515,00,00,9900.00,9900.00,0.00,1
516,09,00,9850.00,9950.00,-100.00,0
517,00,7A,9900.00,9950.00,-50.00,0
518,78,1F,9850.00,9900.00,-50.00,0
519,00,00,9900.00,9950.00,-50.00,1
520,00,00,9850.00,9950.00,-100.00,1
521,00,00,9900.00,9900.00,0.00,1
522,00,A5,9850.00,9950.00,-100.00,0
523,FF,08,9900.00,9950.00,-50.00,0
524,07,00,9900.00,9900.00,0.00,0
525,00,00,9850.00,9950.00,-100.00,1
526,00,00,9850.00,9900.00,-50.00,1
527,00,00,9900.00,9950.00,-50.00,1
528,00,F2,9850.00,9950.00,-100.00,0
529,58,FF,9900.00,49801800.00,-49791900.00,0
530,FF,FF,49213400.00,11000.00,49202400.00,1
531,FF,07,10950.00,10950.00,0.00,0
532,02,04,10950.00,10950.00,0.00,0
533,04,02,11000.00,11000.00,0.00,0
534,02,38,10950.00,10950.00,0.00,0
535,38,11,10950.00,120600.00,-109650.00,0
536,11,A9,97550.00,127600.00,-30050.00,0
537,AE,FF,122500.00,44050.00,78450.00,0
538,FF,FF,26250.00,9900.00,16350.00,1
539,FF,07,9900.00,9950.00,-50.00,0
540,02,13,9850.00,9900.00,-50.00,0
541,13,00,9850.00,9950.00,-100.00,0
542,00,A5,9900.00,9950.00,-50.00,0
543,03,08,9850.00,9900.00,-50.00,0
544,08,00,9900.00,9950.00,-50.00,0
545,00,00,9900.00,9950.00,-50.00,1
546,00,00,9850.00,9900.00,-50.00,1
547,0A,00,9900.00,9950.00,-50.00,0
548,00,7A,9850.00,9950.00,-100.00,0
549,78,1F,9900.00,9900.00,0.00,0
550,00,00,9850.00,9950.00,-100.00,1
551,00,00,9900.00,9900.00,0.00,1
552,00,00,9850.00,9950.00,-100.00,1
553,00,A5,9900.00,9950.00,-50.00,0
554,FF,08,9850.00,9950.00,-100.00,0
555,07,00,9900.00,9900.00,0.00,0
556,00,00,9850.00,9950.00,-100.00,1
557,00,00,9900.00,9950.00,-50.00,1
558,00,00,9850.00,9900.00,-50.00,1
559,00,F2,9900.00,9950.00,-50.00,0
560,57,FF,9850.00,48958800.00,-48948950.00,0
561,FF,FF,49445100.00,10950.00,49434150.00,1
562,FF,07,10950.00,10950.00,0.00,0
563,02,04,10950.00,10950.00,0.00,0
564,04,02,10950.00,11000.00,-50.00,0
565,02,38,11000.00,10950.00,50.00,0
566,38,11,10950.00,65800.00,-54850.00,0
567,11,A9,90700.00,110650.00,-19950.00,0
568,AE,FF,153500.00,42450.00,111050.00,0
569,FF,FF,25450.00,9950.00,15500.00,1
570,FF,07,9900.00,9900.00,0.00,0
571,02,13,9850.00,9950.00,-100.00,0
572,13,00,9850.00,9900.00,-50.00,0
573,00,A5,9900.00,9950.00,-50.00,0
574,03,08,9850.00,9950.00,-100.00,0
575,08,00,9900.00,9900.00,0.00,0
576,00,00,9850.00,9950.00,-100.00,1
577,00,00,9900.00,9950.00,-50.00,1
578,0C,00,9850.00,9900.00,-50.00,0
579,00,7A,9900.00,9950.00,-50.00,0
580,78,1F,9850.00,9950.00,-100.00,0
581,00,00,9900.00,9900.00,0.00,1
582,00,00,9850.00,9950.00,-100.00,1
583,00,00,9900.00,9950.00,-50.00,1
584,00,A5,9850.00,9900.00,-50.00,0
585,FF,08,9900.00,9950.00,-50.00,0
586,07,00,9900.00,9950.00,-50.00,0
587,00,00,9850.00,9900.00,-50.00,1
588,00,00,9850.00,9950.00,-100.00,1
