Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
146,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
147,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
148,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
149,01,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
150,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
151,00,00,9D,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
152,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
153,00,00,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
154,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
155,CE,A4,E3,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
156,FF,FF,FF,48704700.00,49666250.00,49642100.00,961550.00,937400.00,-24150.00
157,FF,FF,FF,10950.00,10950.00,10950.00,0.00,0.00,0.00
158,02,0D,03,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
159,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
160,02,02,02,10950.00,10950.00,11000.00,0.00,50.00,50.00
161,38,38,38,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
162,11,11,11,64800.00,57800.00,34900.00,-7000.00,-29900.00,-22900.00
163,AE,A3,AD,107700.00,73750.00,136500.00,-33950.00,28800.00,62750.00
164,FF,FF,FF,36300.00,44300.00,44100.00,8000.00,7800.00,-200.00
165,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
166,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
167,13,13,13,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
168,00,00,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
169,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
170,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
171,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
172,80,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
173,1F,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
174,04,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
175,78,7A,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
176,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
177,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
178,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
179,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
180,01,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
181,00,08,07,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
182,00,00,9D,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
183,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
184,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
185,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
186,CE,A4,E3,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
187,00,FF,FF,14438300.00,49491800.00,49745450.00,35053500.00,35307150.00,253650.00
188,FF,FF,FF,35648700.00,10950.00,11000.00,-35637750.00,-35637700.00,50.00
189,FF,0D,03,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
190,02,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
191,04,02,02,10950.00,10950.00,11000.00,0.00,50.00,50.00
192,02,38,38,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
193,38,11,11,10950.00,23900.00,59800.00,12950.00,48850.00,35900.00
194,11,A3,AD,106600.00,104650.00,147550.00,-1950.00,40950.00,42900.00
195,AE,FF,FF,132550.00,45450.00,41600.00,-87100.00,-90950.00,-3850.00
196,FF,FF,FF,56950.00,9950.00,9950.00,-47000.00,-47000.00,0.00
197,FF,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
198,02,13,13,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
199,13,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
200,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
201,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
202,00,00,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
203,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
204,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
205,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
206,04,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
207,78,19,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
208,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
209,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
210,00,00,00,12800.00,10000.00,10000.00,-2800.00,-2800.00,0.00
211,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
212,01,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
213,00,00,9E,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
214,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
215,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
216,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
217,00,A4,E2,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
218,CE,FF,FF,12850.00,49745000.00,48930650.00,49732150.00,48917800.00,-814350.00
219,FF,FF,FF,49485450.00,11000.00,11000.00,-49474450.00,-49474450.00,0.00
220,FF,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
221,02,04,04,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
222,04,02,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
223,02,38,38,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
224,38,11,11,10950.00,77750.00,124600.00,66800.00,113650.00,46850.00
225,11,A3,AD,90750.00,64800.00,72750.00,-25950.00,-18000.00,7950.00
226,AE,FF,FF,108700.00,45400.00,41600.00,-63300.00,-67100.00,-3800.00
227,FF,FF,FF,56400.00,10000.00,9950.00,-46400.00,-46450.00,-50.00
228,FF,0D,03,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
229,02,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
230,13,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
231,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
232,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
233,00,00,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
234,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
235,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
236,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
237,04,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
238,78,19,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
239,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
240,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
241,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
242,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
243,01,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
244,00,00,9E,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
245,00,00,03,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
246,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
247,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
248,00,A4,E2,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
249,CE,FF,FF,12800.00,49716050.00,49805600.00,49703250.00,49792800.00,89550.00
250,FF,FF,FF,49126250.00,10950.00,11000.00,-49115300.00,-49115250.00,50.00
251,FF,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
252,02,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
253,04,02,02,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
254,02,38,38,10950.00,10950.00,11000.00,0.00,50.00,50.00
255,38,11,11,10950.00,79750.00,71750.00,68800.00,60800.00,-8000.00
256,11,A3,AD,116600.00,139550.00,163400.00,22950.00,46800.00,23850.00
257,AE,FF,FF,102650.00,43050.00,42550.00,-59600.00,-60100.00,-500.00
258,FF,FF,FF,56650.00,9950.00,9950.00,-46700.00,-46700.00,0.00
259,FF,0D,03,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
260,02,13,13,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
261,13,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
262,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
263,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
264,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
265,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
266,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
267,1F,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
268,04,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
269,78,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
270,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
271,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
272,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
273,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
274,01,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
275,00,00,9E,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
276,00,00,03,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
277,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
278,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
279,00,A4,E2,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
280,CE,FF,FF,12800.00,49452400.00,49305900.00,49439600.00,49293100.00,-146500.00
281,FF,FF,FF,49446600.00,11000.00,10950.00,-49435600.00,-49435650.00,-50.00
282,FF,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
283,02,04,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
284,04,02,02,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
285,02,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
286,38,11,11,10950.00,19900.00,63800.00,8950.00,52850.00,43900.00
287,11,A3,AD,63800.00,84750.00,131600.00,20950.00,67800.00,46850.00
288,AE,FF,FF,108650.00,42750.00,43750.00,-65900.00,-64900.00,1000.00
289,FF,FF,FF,37250.00,9950.00,9950.00,-27300.00,-27300.00,0.00
290,FF,0D,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
291,02,13,13,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
292,13,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
293,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
294,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
295,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
296,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
297,80,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
298,1F,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
299,04,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
