Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
417,00,00,12850.00,12850.00,0.00,1
418,00,00,12850.00,12850.00,0.00,1
419,00,00,12850.00,12850.00,0.00,1
420,00,00,12800.00,12800.00,0.00,1
421,80,20,12850.00,12850.00,0.00,0
422,1F,04,12850.00,12850.00,0.00,0
423,04,78,12850.00,12850.00,0.00,0
424,78,00,12850.00,12800.00,-50.00,0
425,00,00,12800.00,12850.00,50.00,1
426,00,00,12850.00,12850.00,0.00,1
427,00,00,12850.00,12850.00,0.00,1
428,00,01,12850.00,12850.00,0.00,0
429,01,00,12850.00,12800.00,-50.00,0
430,00,00,12800.00,12850.00,50.00,1
431,00,00,12850.00,12850.00,0.00,1
432,00,00,12850.00,12850.00,0.00,1
433,00,00,12850.00,12800.00,-50.00,1
434,00,4D,12800.00,12850.00,50.00,0
435,CE,FF,12850.00,49286600.00,49273750.00,0
436,FF,FF,49400900.00,10950.00,-49389950.00,1
437,FF,02,10950.00,11000.00,50.00,0
438,02,04,10950.00,10950.00,0.00,0
439,04,02,10950.00,10950.00,0.00,0
440,02,38,11000.00,11000.00,0.00,0
441,38,11,10950.00,92700.00,81750.00,0
442,11,AE,93650.00,129550.00,35900.00,0
443,AE,FF,104600.00,56700.00,-47900.00,0
444,FF,FF,57350.00,12800.00,-44550.00,1
445,FF,02,12800.00,12850.00,50.00,0
446,02,13,12850.00,12850.00,0.00,0
447,13,00,12850.00,12850.00,0.00,0
448,00,00,12850.00,12800.00,-50.00,1
449,00,00,12800.00,12850.00,50.00,1
450,00,00,12850.00,12850.00,0.00,1
451,00,00,12850.00,12850.00,0.00,1
452,80,20,12850.00,12800.00,-50.00,0
453,1F,04,12800.00,12850.00,50.00,0
454,04,78,12850.00,12850.00,0.00,0
455,78,00,12850.00,12850.00,0.00,0
456,00,00,12850.00,12800.00,-50.00,1
457,00,00,12850.00,12850.00,0.00,1
458,00,00,12800.00,12850.00,50.00,1
459,00,01,12850.00,12850.00,0.00,0
460,01,00,12850.00,12850.00,0.00,0
461,00,00,12850.00,12800.00,-50.00,1
462,00,00,12850.00,12850.00,0.00,1
463,00,00,12800.00,12850.00,50.00,1
464,00,00,12850.00,12850.00,0.00,1
465,00,4D,12850.00,12800.00,-50.00,0
466,CE,00,12850.00,38247150.00,38234300.00,0
467,FF,FF,49648550.00,11274800.00,-38373750.00,1
468,FF,FF,10950.00,10950.00,0.00,1
469,02,02,10950.00,10950.00,0.00,1
470,04,04,10950.00,11000.00,50.00,1
471,02,02,11000.00,10950.00,-50.00,1
472,38,38,10950.00,10950.00,0.00,1
473,11,11,77700.00,129550.00,51850.00,1
474,AE,AE,120600.00,203300.00,82700.00,1
475,FF,FF,57550.00,58100.00,550.00,1
476,FF,FF,12850.00,12850.00,0.00,1
477,02,02,12850.00,12850.00,0.00,1
478,13,13,12800.00,12800.00,0.00,1
479,00,00,12850.00,12850.00,0.00,1
480,00,00,12850.00,12850.00,0.00,1
481,00,00,12850.00,12850.00,0.00,1
482,00,00,12800.00,12850.00,50.00,1
483,80,00,12850.00,12800.00,-50.00,0
484,1F,20,12850.00,12850.00,0.00,0
485,04,04,12850.00,12850.00,0.00,1
486,78,78,12850.00,12850.00,0.00,1
487,00,00,12800.00,12850.00,50.00,1
488,00,00,12850.00,12800.00,-50.00,1
489,00,00,12850.00,12850.00,0.00,1
490,00,00,12850.00,12850.00,0.00,1
491,01,01,12800.00,12850.00,50.00,1
492,00,00,12850.00,12850.00,0.00,1
493,00,00,12850.00,12800.00,-50.00,1
494,00,00,12850.00,12850.00,0.00,1
495,00,00,12800.00,12850.00,50.00,1
496,00,00,12850.00,12850.00,0.00,1
497,CE,4D,12850.00,12850.00,0.00,0
498,FF,FF,48892850.00,49483750.00,590900.00,1
499,FF,FF,10950.00,10950.00,0.00,1
500,02,02,10950.00,10950.00,0.00,1
501,04,04,10950.00,11000.00,50.00,1
