from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
181,182,285749000.00,285761900.00,12900.00,12.900000,0.012900000,0B,00
182,183,285761900.00,285774750.00,12850.00,12.850000,0.012850000,00,00
183,184,285774750.00,285787600.00,12850.00,12.850000,0.012850000,00,00
184,185,285787600.00,285800450.00,12850.00,12.850000,0.012850000,00,00
185,186,285800450.00,285813300.00,12850.00,12.850000,0.012850000,00,DF
186,187,285813300.00,335339350.00,49526050.00,49526.050000,49.526050000,DF,FF
187,188,335339350.00,335350350.00,11000.00,11.000000,0.011000000,FF,FF
188,189,335350350.00,335361400.00,11050.00,11.050000,0.011050000,FF,01
189,190,335361400.00,335372400.00,11000.00,11.000000,0.011000000,01,04
190,191,335372400.00,335383450.00,11050.00,11.050000,0.011050000,04,02
191,192,335383450.00,335394450.00,11000.00,11.000000,0.011000000,02,38
192,193,335394450.00,335424500.00,30050.00,30.050000,0.030050000,38,11
193,194,335424500.00,335495600.00,71100.00,71.100000,0.071100000,11,AF
194,195,335495600.00,335534200.00,38600.00,38.600000,0.038600000,AF,FF
195,196,335534200.00,335547050.00,12850.00,12.850000,0.012850000,FF,FF
196,197,335547050.00,335559950.00,12900.00,12.900000,0.012900000,FF,01
197,198,335559950.00,335572800.00,12850.00,12.850000,0.012850000,01,13
198,199,335572800.00,335585650.00,12850.00,12.850000,0.012850000,13,00
199,200,335585650.00,335598500.00,12850.00,12.850000,0.012850000,00,1C
200,201,335598500.00,335611400.00,12900.00,12.900000,0.012900000,1C,0B
201,202,335611400.00,335624250.00,12850.00,12.850000,0.012850000,0B,00
202,203,335624250.00,335637100.00,12850.00,12.850000,0.012850000,00,00
203,204,335637100.00,335649950.00,12850.00,12.850000,0.012850000,00,8A
204,205,335649950.00,335662800.00,12850.00,12.850000,0.012850000,8A,04
205,206,335662800.00,335675650.00,12850.00,12.850000,0.012850000,04,2C
206,207,335675650.00,335688550.00,12900.00,12.900000,0.012900000,2C,00
207,208,335688550.00,335701400.00,12850.00,12.850000,0.012850000,00,00
208,209,335701400.00,335714250.00,12850.00,12.850000,0.012850000,00,00
209,210,335714250.00,335727100.00,12850.00,12.850000,0.012850000,00,00
210,211,335727100.00,335739950.00,12850.00,12.850000,0.012850000,00,22
211,212,335739950.00,335752850.00,12900.00,12.900000,0.012900000,22,0B
212,213,335752850.00,335765700.00,12850.00,12.850000,0.012850000,0B,00
213,214,335765700.00,335778550.00,12850.00,12.850000,0.012850000,00,00
214,215,335778550.00,335791400.00,12850.00,12.850000,0.012850000,00,00
215,216,335791400.00,335804250.00,12850.00,12.850000,0.012850000,00,00
216,217,335804250.00,335817100.00,12850.00,12.850000,0.012850000,00,DD
217,218,335817100.00,385346800.00,49529700.00,49529.700000,49.529700000,DD,FF
218,219,385346800.00,385357800.00,11000.00,11.000000,0.011000000,FF,FF
219,220,385357800.00,385368850.00,11050.00,11.050000,0.011050000,FF,01
220,221,385368850.00,385379850.00,11000.00,11.000000,0.011000000,01,04
221,222,385379850.00,385390900.00,11050.00,11.050000,0.011050000,04,02
222,223,385390900.00,385401900.00,11000.00,11.000000,0.011000000,02,38
223,224,385401900.00,385443950.00,42050.00,42.050000,0.042050000,38,11
224,225,385443950.00,385567150.00,123200.00,123.200000,0.123200000,11,AF
225,226,385567150.00,385624000.00,56850.00,56.850000,0.056850000,AF,FF
226,227,385624000.00,385636900.00,12900.00,12.900000,0.012900000,FF,FF
227,228,385636900.00,385649750.00,12850.00,12.850000,0.012850000,FF,01
228,229,385649750.00,385662600.00,12850.00,12.850000,0.012850000,01,13
229,230,385662600.00,385675450.00,12850.00,12.850000,0.012850000,13,00
230,231,385675450.00,385688300.00,12850.00,12.850000,0.012850000,00,1C
231,232,385688300.00,385701200.00,12900.00,12.900000,0.012900000,1C,0B
232,233,385701200.00,385714050.00,12850.00,12.850000,0.012850000,0B,00
233,234,385714050.00,385726900.00,12850.00,12.850000,0.012850000,00,00
234,235,385726900.00,385739750.00,12850.00,12.850000,0.012850000,00,8C
235,236,385739750.00,385752600.00,12850.00,12.850000,0.012850000,8C,04
236,237,385752600.00,385765450.00,12850.00,12.850000,0.012850000,04,2C
237,238,385765450.00,385778350.00,12900.00,12.900000,0.012900000,2C,00
238,239,385778350.00,385791200.00,12850.00,12.850000,0.012850000,00,00
239,240,385791200.00,385804050.00,12850.00,12.850000,0.012850000,00,00
240,241,385804050.00,385816900.00,12850.00,12.850000,0.012850000,00,00
241,242,385816900.00,385829750.00,12850.00,12.850000,0.012850000,00,22
242,243,385829750.00,385842650.00,12900.00,12.900000,0.012900000,22,0B
243,244,385842650.00,385855500.00,12850.00,12.850000,0.012850000,0B,00
244,245,385855500.00,385868350.00,12850.00,12.850000,0.012850000,00,00
245,246,385868350.00,385881200.00,12850.00,12.850000,0.012850000,00,00
246,247,385881200.00,385894050.00,12850.00,12.850000,0.012850000,00,00
247,248,385894050.00,385906900.00,12850.00,12.850000,0.012850000,00,DB
248,249,385906900.00,435088700.00,49181800.00,49181.800000,49.181800000,DB,FF
249,250,435088700.00,435099700.00,11000.00,11.000000,0.011000000,FF,FF
250,251,435099700.00,435110700.00,11000.00,11.000000,0.011000000,FF,01
251,252,435110700.00,435121750.00,11050.00,11.050000,0.011050000,01,04
252,253,435121750.00,435132750.00,11000.00,11.000000,0.011000000,04,02
253,254,435132750.00,435143800.00,11050.00,11.050000,0.011050000,02,38
254,255,435143800.00,435165800.00,22000.00,22.000000,0.022000000,38,11
255,256,435165800.00,435232900.00,67100.00,67.100000,0.067100000,11,AF
256,257,435232900.00,435289600.00,56700.00,56.700000,0.056700000,AF,FF
257,258,435289600.00,435302500.00,12900.00,12.900000,0.012900000,FF,FF
258,259,435302500.00,435315350.00,12850.00,12.850000,0.012850000,FF,01
259,260,435315350.00,435328200.00,12850.00,12.850000,0.012850000,01,13
260,261,435328200.00,435341050.00,12850.00,12.850000,0.012850000,13,00
261,262,435341050.00,435353950.00,12900.00,12.900000,0.012900000,00,1C
262,263,435353950.00,435366800.00,12850.00,12.850000,0.012850000,1C,0B
263,264,435366800.00,435379650.00,12850.00,12.850000,0.012850000,0B,00
264,265,435379650.00,435392500.00,12850.00,12.850000,0.012850000,00,00
265,266,435392500.00,435405400.00,12900.00,12.900000,0.012900000,00,8E
266,267,435405400.00,435418250.00,12850.00,12.850000,0.012850000,8E,04
267,268,435418250.00,435431100.00,12850.00,12.850000,0.012850000,04,2C
268,269,435431100.00,435443950.00,12850.00,12.850000,0.012850000,2C,00
269,270,435443950.00,435456800.00,12850.00,12.850000,0.012850000,00,00
